Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),90552,2,450.0,489.41723562316497,123.59836799441837,10187.57980898954,26.015736814206203,447.4009317245177,0.009881635562428609,450,630,690,710,770,860,1100,1200,1600,4200,10000
GET,/polls/help (PaaS),90297,0,230.0,360.05157911925437,127.38220501341857,2457.814497000072,22.0,446.14102319030803,0.0,230,490,590,600,630,650,690,970,1500,2000,2500
,Aggregated,180849,2,370.0,424.8256111998419,123.59836799441837,10187.57980898954,24.010699533865267,893.5419549148257,0.009881635562428609,370,580,620,640,720,790,970,1200,1600,2200,10000
