Method,Name,Error,Occurrences
GET,/polls/help (PaaS),"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='sls-weur-dev-faas-local-or-paas-router.azurewebsites.net', port=443): Read timed out. (read timeout=10.0)"",),)",4
GET,/polls/contacts (FaaS),"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='sls-weur-dev-faas-local-or-paas-router.azurewebsites.net', port=443): Read timed out. (read timeout=10.0)"",),)",5
