Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),32066,2,230.0,328.39458087239666,45.42774800211191,1815.8988939976553,25.99837834466413,157.9900671814956,0.009854055209972906,230,360,420,590,860,910,1000,1000,1200,1500,1800
GET,/polls/help (PaaS),31536,4,230.0,331.2922250201055,8.945284000219544,1994.4101569999475,21.99720953830543,155.37874255085276,0.01970811041994581,230,360,420,610,860,910,1000,1000,1200,1700,2000
,Aggregated,63602,6,230.0,329.8313298086276,8.945284000219544,1994.4101569999475,24.014464953932265,313.3688097323484,0.029562165629918716,230,360,420,600,860,910,1000,1000,1200,1600,2000
