Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),90691,5,400.0,427.98816816341593,34.696444985456765,10925.470946996938,25.998566561180272,447.57790056134024,0.024675982212200784,400,480,530,560,730,950,1100,1300,1700,8500,11000
GET,/polls/help (PaaS),90420,4,420.0,421.6229424989979,58.96898900391534,10002.827830001479,21.99902676399027,446.24046232543895,0.019740785769760627,420,560,610,620,680,800,960,1100,1800,4600,10000
,Aggregated,181111,9,410.0,424.81031753823737,34.696444985456765,10925.470946996938,24.001788958152733,893.8183628867793,0.04441676798196141,410,510,580,610,700,870,1100,1200,1800,8100,11000
