Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),118603,0,420.0,422.07456985804697,40.26879899902269,9783.966349990806,26.0,591.1612806396937,0.0,420,480,520,540,620,750,880,950,1100,2400,9800
GET,/polls/help (PaaS),118081,0,460.0,455.0717997974536,63.74143098946661,8139.096409000558,22.0,588.5594392993067,0.0,460,580,620,640,690,750,850,930,1300,2200,8100
,Aggregated,236684,0,440.0,438.53679758985476,40.26879899902269,9783.966349990806,24.00441094455054,1179.7207199390004,0.0,440,510,570,610,670,750,870,940,1300,2200,9800
