Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),62274,2,440.0,449.26577118917953,42.069975985214114,10950.061365001602,25.99916498056974,308.72710148754237,0.009915120322688197,440,560,620,650,750,1100,1400,1600,2300,7100,11000
GET,/polls/help (PaaS),61957,0,250.0,298.9080707115795,51.80729599669576,2291.822621016763,22.0,307.1555549163963,0.0,250,420,540,540,550,570,590,790,1200,1300,2300
,Aggregated,124231,2,380.0,374.27875467566304,42.069975985214114,10950.061365001602,24.00468482101891,615.8826564039387,0.009915120322688197,380,520,550,560,650,800,1200,1400,2100,5300,11000
