Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),32622,0,260.0,264.9453516549419,24.907852988690138,9797.590453003068,26.0,161.12639376999513,0.0,260,350,390,410,440,500,750,970,1600,4500,9800
GET,/polls/help (PaaS),32688,0,270.0,333.85939879477115,53.13724302686751,10956.62282698322,22.0,161.4523805883637,0.0,270,450,550,560,580,610,780,1100,1900,8500,11000
,Aggregated,65310,0,270.0,299.43719628680145,24.907852988690138,10956.62282698322,23.997978870004594,322.5787743583588,0.0,270,400,430,460,570,590,760,1000,1800,7600,11000
