Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618756946,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618756947,21,,Aggregated,0.000000,0.000000,110,150,240,240,250,250,250,250,250,250,250,7,0,110.0,142.36140800533445,80.98258500103839,248.70001999988745,24.285714285714285
1618756948,21,,Aggregated,0.000000,0.000000,110,150,240,240,250,250,250,250,250,250,250,7,0,110.0,142.36140800533445,80.98258500103839,248.70001999988745,24.285714285714285
1618756949,21,,Aggregated,0.000000,0.000000,110,150,240,240,250,250,250,250,250,250,250,7,0,110.0,142.36140800533445,80.98258500103839,248.70001999988745,24.285714285714285
1618756950,171,,Aggregated,15.000000,0.000000,230,360,370,450,1100,1300,1300,1500,1800,1800,1800,226,0,230.0,364.66107275172544,58.92458098242059,1781.2292109992995,24.01769911504425
1618756951,171,,Aggregated,15.000000,0.000000,230,360,370,450,1100,1300,1300,1500,1800,1800,1800,226,0,230.0,364.66107275172544,58.92458098242059,1781.2292109992995,24.01769911504425
1618756952,171,,Aggregated,15.000000,0.000000,230,360,370,450,1100,1300,1300,1500,1800,1800,1800,226,0,230.0,364.66107275172544,58.92458098242059,1781.2292109992995,24.01769911504425
1618756953,320,,Aggregated,63.750000,0.000000,230,360,370,700,990,1200,1300,1400,1800,1800,1800,711,0,230.0,356.3247260495859,57.01406201114878,1781.2292109992995,24.014064697609
1618756954,320,,Aggregated,63.750000,0.000000,230,360,370,700,990,1200,1300,1400,1800,1800,1800,711,0,230.0,356.3247260495859,57.01406201114878,1781.2292109992995,24.014064697609
1618756955,320,,Aggregated,63.750000,0.000000,230,360,370,700,990,1200,1300,1400,1800,1800,1800,711,0,230.0,356.3247260495859,57.01406201114878,1781.2292109992995,24.014064697609
1618756956,467,,Aggregated,110.428571,0.000000,230,360,380,710,940,1100,1300,1300,1700,1800,1800,1491,1,230.0,358.14427359233036,57.01406201114878,1781.2292109992995,23.97048960429242
1618756957,467,,Aggregated,110.428571,0.000000,230,360,380,710,940,1100,1300,1300,1700,1800,1800,1491,1,230.0,358.14427359233036,57.01406201114878,1781.2292109992995,23.97048960429242
1618756958,467,,Aggregated,110.428571,0.000000,230,360,380,710,940,1100,1300,1300,1700,1800,1800,1491,1,230.0,358.14427359233036,57.01406201114878,1781.2292109992995,23.97048960429242
1618756959,615,,Aggregated,157.200000,0.100000,230,360,410,710,920,1100,1200,1300,1500,1800,1800,2546,1,230.0,353.40630477805223,57.01406201114878,1781.2292109992995,24.033778476040847
1618756960,615,,Aggregated,157.200000,0.100000,230,360,410,710,920,1100,1200,1300,1500,1800,1800,2546,1,230.0,353.40630477805223,57.01406201114878,1781.2292109992995,24.033778476040847
1618756961,615,,Aggregated,157.200000,0.100000,230,360,410,710,920,1100,1200,1300,1500,1800,1800,2546,1,230.0,353.40630477805223,57.01406201114878,1781.2292109992995,24.033778476040847
1618756962,765,,Aggregated,251.500000,0.100000,230,360,420,710,900,1000,1200,1300,1500,1800,1800,3890,1,230.0,348.62832950390015,56.74523000197951,1781.2292109992995,24.019023136246787
1618756963,765,,Aggregated,251.500000,0.100000,230,360,420,710,900,1000,1200,1300,1500,1800,1800,3890,1,230.0,348.62832950390015,56.74523000197951,1781.2292109992995,24.019023136246787
1618756964,765,,Aggregated,251.500000,0.100000,230,360,420,710,900,1000,1200,1300,1500,1800,1800,3890,1,230.0,348.62832950390015,56.74523000197951,1781.2292109992995,24.019023136246787
1618756965,915,,Aggregated,346.400000,0.100000,230,360,420,700,890,1000,1200,1300,1500,1800,1800,5546,2,230.0,346.09598129025767,56.74523000197951,1781.2292109992995,24.01153984853949
1618756966,915,,Aggregated,346.400000,0.100000,230,360,420,700,890,1000,1200,1300,1500,1800,1800,5546,2,230.0,346.09598129025767,56.74523000197951,1781.2292109992995,24.01153984853949
1618756967,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618756968,1000,,Aggregated,125.000000,0.000000,240,370,450,710,880,940,1100,1200,1400,1500,1500,1841,0,240.0,349.81775590131696,58.54887701570988,1534.7166620003918,23.977186311787072
1618756969,1000,,Aggregated,125.000000,0.000000,240,370,450,710,880,940,1100,1200,1400,1500,1500,1841,0,240.0,349.81775590131696,58.54887701570988,1534.7166620003918,23.977186311787072
1618756970,1000,,Aggregated,125.000000,0.000000,240,370,450,710,880,940,1100,1200,1400,1500,1500,1841,0,240.0,349.81775590131696,58.54887701570988,1534.7166620003918,23.977186311787072
1618756971,1000,,Aggregated,501.250000,0.000000,240,370,460,710,880,930,1000,1100,1400,1500,1500,3709,0,240.0,349.7919723958398,56.65205797413364,1534.7166620003918,24.0070099757347
1618756972,1000,,Aggregated,501.250000,0.000000,240,370,460,710,880,930,1000,1100,1400,1500,1500,3709,0,240.0,349.7919723958398,56.65205797413364,1534.7166620003918,24.0070099757347
1618756973,1000,,Aggregated,501.250000,0.000000,240,370,460,710,880,930,1000,1100,1400,1500,1500,3709,0,240.0,349.7919723958398,56.65205797413364,1534.7166620003918,24.0070099757347
1618756974,1000,,Aggregated,554.142857,0.000000,240,370,450,700,880,930,1000,1100,1300,1500,1500,5582,0,240.0,348.30132461616023,56.65205797413364,1534.7166620003918,24.00286635614475
1618756975,1000,,Aggregated,554.142857,0.000000,240,370,450,700,880,930,1000,1100,1300,1500,1500,5582,0,240.0,348.30132461616023,56.65205797413364,1534.7166620003918,24.00286635614475
1618756976,1000,,Aggregated,554.142857,0.000000,240,370,450,700,880,930,1000,1100,1300,1500,1500,5582,0,240.0,348.30132461616023,56.65205797413364,1534.7166620003918,24.00286635614475
1618756977,1000,,Aggregated,573.700000,0.000000,240,370,460,700,880,930,1000,1100,1300,1500,1500,7425,0,240.0,350.67758178401425,56.65205797413364,1534.7166620003918,24.01212121212121
1618756978,1000,,Aggregated,573.700000,0.000000,240,370,460,700,880,930,1000,1100,1300,1500,1500,7425,0,240.0,350.67758178401425,56.65205797413364,1534.7166620003918,24.01212121212121
1618756979,1000,,Aggregated,573.700000,0.000000,240,370,460,700,880,930,1000,1100,1300,1500,1500,7425,0,240.0,350.67758178401425,56.65205797413364,1534.7166620003918,24.01212121212121
1618756980,1000,,Aggregated,622.400000,0.000000,250,380,480,700,880,960,1000,1100,1300,1500,1500,9208,0,250.0,360.07838937468784,56.65205797413364,1534.7166620003918,24.00304083405734
1618756981,1000,,Aggregated,622.400000,0.000000,250,380,480,700,880,960,1000,1100,1300,1500,1500,9208,0,250.0,360.07838937468784,56.65205797413364,1534.7166620003918,24.00304083405734
1618756982,1000,,Aggregated,622.400000,0.000000,250,380,480,700,880,960,1000,1100,1300,1500,1500,9208,0,250.0,360.07838937468784,56.65205797413364,1534.7166620003918,24.00304083405734
1618756983,1000,,Aggregated,610.600000,0.000000,270,390,530,710,890,990,1100,1100,1400,1500,1500,10995,0,270.0,374.5582747846561,56.65205797413364,1534.7166620003918,23.9943610732151
1618756984,1000,,Aggregated,610.600000,0.000000,270,390,530,710,890,990,1100,1100,1400,1500,1500,10995,0,270.0,374.5582747846561,56.65205797413364,1534.7166620003918,23.9943610732151
1618756985,1000,,Aggregated,610.600000,0.000000,270,390,530,710,890,990,1100,1100,1400,1500,1500,10995,0,270.0,374.5582747846561,56.65205797413364,1534.7166620003918,23.9943610732151
1618756986,1000,,Aggregated,599.700000,0.000000,270,390,530,710,890,990,1100,1100,1300,1500,1500,12855,0,270.0,375.93097856702093,56.65205797413364,1534.7166620003918,23.992376507195644
1618756987,1000,,Aggregated,599.700000,0.000000,270,390,530,710,890,990,1100,1100,1300,1500,1500,12855,0,270.0,375.93097856702093,56.65205797413364,1534.7166620003918,23.992376507195644
1618756988,1000,,Aggregated,599.700000,0.000000,270,390,530,710,890,990,1100,1100,1300,1500,1500,12855,0,270.0,375.93097856702093,56.65205797413364,1534.7166620003918,23.992376507195644
1618756989,1000,,Aggregated,604.700000,0.000000,260,390,520,700,890,980,1100,1100,1300,1500,1500,14741,1,260.0,370.994687781911,56.65205797413364,1534.7166620003918,23.986703751441556
