Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),94566,19665,880.0,875.6510561692761,25.785555015318096,4818.026206005015,125.81065076243047,466.8460006507502,97.08062731633994,880,1000,1100,1200,1300,1500,1600,1700,1900,2500,4800
GET,/polls/help (PaaS),95176,20026,870.0,871.4284412416649,25.952055992092937,6143.520585988881,123.83853072203077,469.857400735315,98.8627837598283,870,1000,1100,1200,1300,1400,1600,1700,1900,2500,6100
,Aggregated,189742,39691,880.0,873.5329610804158,25.785555015318096,6143.520585988881,124.82142066595694,936.7034013860653,195.94341107616825,880,1000,1100,1200,1300,1400,1600,1700,1900,2500,6100
