Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),62151,1,360.0,378.5855851811764,30.87179100839421,10482.128561998252,25.999581664011842,308.1520929684406,0.004958119627494983,360,440,480,500,630,890,1200,1300,1900,5700,10000
GET,/polls/help (PaaS),61294,0,360.0,389.60923577090045,53.99094399763271,6276.895771006821,22.0,303.90298444767745,0.0,360,540,580,600,640,750,940,1100,2400,5900,6300
,Aggregated,123445,1,360.0,384.05914538407217,30.87179100839421,10482.128561998252,24.01367410587711,612.0550774161181,0.004958119627494983,360,470,530,570,640,810,1100,1200,2100,5900,10000
