Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618753315,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618753316,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618753317,30,,Aggregated,0.000000,0.000000,430,460,460,460,480,520,560,560,560,560,560,21,0,430.0,400.98615994931953,123.2336949906312,557.697398995515,23.714285714285715
1618753318,68,,Aggregated,0.000000,0.000000,470,1400,1500,1500,1700,1900,1900,1900,1900,1900,1900,34,0,460.0,842.1307393217937,123.2336949906312,1942.7282949909568,23.88235294117647
1618753319,117,,Aggregated,7.000000,0.000000,410,460,1400,1500,1800,1900,2300,2400,2400,2400,2400,85,0,410.0,740.737387670154,123.2336949906312,2404.070660995785,23.83529411764706
1618753320,166,,Aggregated,18.000000,0.000000,390,410,460,460,1500,1800,2100,2300,2400,2400,2400,197,0,390.0,471.43121016221176,122.8077740088338,2404.070660995785,24.091370558375633
1618753321,216,,Aggregated,33.500000,0.000000,410,510,1200,1400,1500,1900,1900,2300,2400,2400,2400,276,0,410.0,667.2271823255862,122.8077740088338,2404.070660995785,24.17391304347826
1618753322,265,,Aggregated,44.800000,0.000000,410,560,1100,1400,1600,1800,1900,1900,2400,2400,2400,407,0,410.0,658.4340723333929,122.8077740088338,2404.070660995785,24.152334152334152
1618753323,314,,Aggregated,59.666667,0.000000,350,420,480,610,1500,1800,1900,1900,5600,5600,5600,631,0,350.0,518.7799046444509,120.16896600835025,5638.059216027614,24.04754358161648
1618753324,362,,Aggregated,74.000000,0.000000,410,580,750,1200,1500,1800,1900,1900,5600,5600,5600,799,0,410.0,605.7507109206448,120.16896600835025,5638.059216027614,24.02252816020025
1618753325,412,,Aggregated,89.000000,0.000000,400,590,690,940,1500,1800,1900,1900,5600,5600,5600,1019,0,400.0,595.2745328140539,120.16896600835025,5638.059216027614,24.029440628066734
1618753326,462,,Aggregated,104.777778,0.000000,320,470,590,660,1400,1600,1900,1900,5600,5600,5600,1350,0,320.0,501.1946463217262,115.80533103551716,5638.059216027614,24.077037037037037
1618753327,512,,Aggregated,119.600000,0.000000,400,500,630,760,1500,1600,1900,1900,5600,6300,6300,1586,0,400.0,549.5934335413917,115.80533103551716,6294.382103020325,24.042875157629258
1618753328,561,,Aggregated,148.100000,0.000000,400,530,630,740,1400,1600,1900,1900,5600,6300,6300,1893,0,400.0,545.7101824308058,115.80533103551716,6294.382103020325,24.0581088219757
1618753329,611,,Aggregated,174.900000,0.000000,270,470,600,640,1200,1600,1900,1900,5600,6300,6300,2315,0,270.0,482.496821598391,115.80533103551716,6294.382103020325,24.03196544276458
1618753330,661,,Aggregated,207.100000,0.000000,400,510,620,660,1300,1600,1900,1900,5600,6300,6300,2623,0,400.0,516.328795664262,115.80533103551716,6294.382103020325,24.02973694243233
1618753331,710,,Aggregated,235.300000,0.000000,400,540,620,670,1200,1600,1900,1900,5400,6300,6300,3009,0,400.0,517.7432475023217,115.80533103551716,6294.382103020325,24.020604852110335
1618753332,759,,Aggregated,266.200000,0.000000,370,490,610,640,1200,1500,1900,1900,5400,6300,6300,3501,0,370.0,487.96980528137385,115.80533103551716,6294.382103020325,23.98914595829763
1618753333,807,,Aggregated,291.300000,0.000000,410,580,630,700,1200,1500,1900,1900,5400,6300,6300,3845,0,410.0,522.9318768297182,115.80533103551716,6294.382103020325,23.97451235370611
1618753334,856,,Aggregated,316.800000,0.000000,450,590,650,750,1200,1600,1900,1900,5200,6300,6300,4258,0,450.0,538.1179356125531,115.80533103551716,6294.382103020325,23.972757162987318
1618753335,906,,Aggregated,341.200000,0.000000,430,590,650,750,1200,1500,1900,1900,5400,6300,6300,4763,0,430.0,529.6194055515789,115.80533103551716,6294.382103020325,23.95171110644552
1618753336,956,,Aggregated,362.800000,0.000000,470,610,690,840,1200,1600,1900,1900,5200,6300,6300,5152,0,470.0,565.4963458005483,115.80533103551716,6294.382103020325,23.940993788819874
1618753337,1006,,Aggregated,380.000000,0.000000,470,620,740,890,1300,1600,1900,1900,5200,6300,6300,5569,0,470.0,588.8383610327177,115.80533103551716,6294.382103020325,23.927814688453942
1618753338,1056,,Aggregated,395.000000,0.000000,470,620,790,970,1400,1700,1900,2000,5100,6300,6300,6061,0,470.0,600.8233405217862,115.80533103551716,6294.382103020325,23.921795083319584
1618753339,1105,,Aggregated,407.500000,0.000000,490,640,870,1100,1500,1800,2000,2300,5400,8900,8900,6475,0,490.0,649.3290961253372,115.80533103551716,8903.242518019397,23.925559845559846
1618753340,1153,,Aggregated,416.000000,0.000000,500,660,960,1200,1600,1900,2200,2500,5600,10000,10000,6956,1,500.0,687.9040060360396,115.80533103551716,10426.176567998482,24.14189189189189
1618753341,1201,,Aggregated,427.400000,0.100000,500,680,1100,1200,1600,1900,2200,2500,5700,10000,10000,7570,1,500.0,698.0018700520576,115.80533103551716,10426.176567998482,24.131968295904887
