Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/contacts (FaaS),91766,0,480.0,476.6007087401519,44.50608498882502,7666.544857987901,26.0,453.2828442250688,0.0,480,600,660,680,760,840,980,1100,1400,1800,7700
GET,/polls/help (PaaS),91002,0,290.0,330.7253648705607,52.72608203813434,4547.07273299573,22.0,449.5090272014658,0.0,290,430,550,550,570,590,640,820,1300,3700,4500
,Aggregated,182768,0,410.0,403.96792815044006,44.50608498882502,7666.544857987901,24.00836032565876,902.7918714265346,0.0,410,540,570,590,690,770,910,1000,1400,3300,7700
