Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,,Aggregated,63602,6,0.01%,230.0,329.8313298086276,8.945284000219544,1994.4101569999475,24.014464953932265,313.3688097323484,0.029562165629918716,230,360,420,600,860,910,1000,1000,1200,1600,2000
dns_routing,1000,,Aggregated,126470,9,0.01%,240.0,342.80296064465,47.63191599340644,4962.381599994842,23.998118130782004,626.6920806830748,0.04459736479914345,240,370,440,640,870,920,1000,1000,1200,1500,5000
dns_routing,1500,,Aggregated,157035,390,0.25%,600.0,682.6247542779594,27.028255979530513,4113.509635004448,25.196688636291274,774.5139529273005,1.9235230467198217,600,730,880,1000,1200,1300,1400,1500,1700,1900,4100
dns_routing,2000,,Aggregated,189742,39691,20.92%,880.0,873.5329610804158,25.785555015318096,6143.520585988881,124.82142066595694,936.7034013860653,195.94341107616825,880,1000,1100,1200,1300,1400,1600,1700,1900,2500,6100
faas_lightweight_routing,500,,Aggregated,64861,0,0.00%,310.0,309.50567452491384,40.16048402991146,2364.870638004504,24.002250967453477,319.46549838107035,0.0,310,440,540,540,570,630,650,690,1100,1700,2400
faas_lightweight_routing,1000,,Aggregated,124231,2,0.00%,380.0,374.27875467566304,42.069975985214114,10950.061365001602,24.00468482101891,615.8826564039387,0.009915120322688197,380,520,550,560,650,800,1200,1400,2100,5300,11000
faas_lightweight_routing,1500,,Aggregated,182768,0,0.00%,410.0,403.96792815044006,44.50608498882502,7666.544857987901,24.00836032565876,902.7918714265346,0.0,410,540,570,590,690,770,910,1000,1400,3300,7700
faas_lightweight_routing,2000,,Aggregated,223221,1352,0.61%,550.0,527.1493689440329,43.850855028722435,10941.499852000561,23.854144547332016,1113.5081058079584,6.74427118887721,550,620,670,710,820,930,1100,1200,2500,3600,11000
faas_local_or_remote_paas_routing,500,,Aggregated,65310,0,0.00%,270.0,299.43719628680145,24.907852988690138,10956.62282698322,23.997978870004594,322.5787743583588,0.0,270,400,430,460,570,590,760,1000,1800,7600,11000
faas_local_or_remote_paas_routing,1000,,Aggregated,123445,1,0.00%,360.0,384.05914538407217,30.87179100839421,10482.128561998252,24.01367410587711,612.0550774161181,0.004958119627494983,360,470,530,570,640,810,1100,1200,2100,5900,10000
faas_local_or_remote_paas_routing,1500,,Aggregated,181111,9,0.00%,410.0,424.81031753823737,34.696444985456765,10925.470946996938,24.001788958152733,893.8183628867793,0.04441676798196141,410,510,580,610,700,870,1100,1200,1800,8100,11000
faas_local_or_remote_paas_routing,2000,,Aggregated,236684,0,0.00%,440.0,438.53679758985476,40.26879899902269,9783.966349990806,24.00441094455054,1179.7207199390004,0.0,440,510,570,610,670,750,870,940,1300,2200,9800
nginx_routing,500,,Aggregated,60144,2,0.00%,230.0,429.84677643024617,113.2969880127348,17094.84220101149,23.985035913806865,296.41095502689427,0.00985670906580521,230,500,590,600,640,680,1200,5200,7500,8200,17000
nginx_routing,1000,,Aggregated,121957,1,0.00%,340.0,398.9651139334654,118.51126700639725,10151.986828976078,23.991406807317333,604.955231873835,0.0049603977785107455,340,550,600,620,700,780,910,1000,1600,3000,10000
nginx_routing,1500,,Aggregated,180849,2,0.00%,370.0,424.8256111998419,123.59836799441837,10187.57980898954,24.010699533865267,893.5419549148257,0.009881635562428609,370,580,620,640,720,790,970,1200,1600,2200,10000
nginx_routing,2000,,Aggregated,205520,2,0.00%,600.0,696.0517935148903,128.37155198212713,10809.987489000378,24.021550214091086,1017.2816877022292,0.009899588241555363,600,700,770,820,1100,1900,2700,3200,4300,8000,11000
