Method,Name,Error,Occurrences
GET,/polls/help,503 Server Error: Service Unavailable for url: https://paas-poll-app.herokuapp.com/polls/help,2
GET,/polls/help,"HTTPSConnectionPool(host='paas-poll-app.herokuapp.com', port=443): Read timed out. (read timeout=10.0)",2483
