Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,GET,/polls/help (PaaS),31119,4,0.01%,220.0,320.02248649874474,8.77160366124762,2053.081157201037,22.67907538993969,158.34357121419984,0.01939735081358542,230,360,410,600,870,930,980,1010,1200,1690,1920
dns_routing,1000,GET,/polls/help (PaaS),61978,2,0.00%,230.0,331.9340698399439,55.493189561297626,2276.999174254331,22.712745457476892,301.52182190095726,0.009560338247565898,230,370,440,600,830,940,990,960,1190,1450,2250
dns_routing,1500,GET,/polls/help (PaaS),81012,174,0.21%,610.0,685.8505149728388,26.291731624829705,2834.48675027628,23.66561456847504,370.5854176946105,0.850167990394585,610,730,880,1000,1200,1300,1390,1510,1630,1950,2720
dns_routing,2000,GET,/polls/help (PaaS),96136,19732,20.53%,830.0,850.5846721435868,26.326477844154926,5994.7438390124535,121.5131449829532,475.00733146423323,99.86997707993719,880,970,1070,1210,1260,1400,1570,1750,1970,2540,6060
faas_lightweight_routing,500,GET,/polls/help (PaaS),31342,0,0.00%,240.0,298.58360089398616,50.45295029441783,2192.688491887973,22.466451820065167,157.9740862080549,0,240,420,530,520,530,550,560,780,1150,1680,2230
faas_lightweight_routing,1000,GET,/polls/help (PaaS),60271,0,0.00%,250.0,294.21857112616175,50.99530774883528,2331.1745644562848,21.314372729196776,307.06473554283457,0,240,410,540,530,540,570,600,790,1220,1310,2300
faas_lightweight_routing,1500,GET,/polls/help (PaaS),94574,0,0.00%,290.0,321.353662849017,52.52292051428152,4490.372051259303,22.669903959512585,456.8916512854125,0,270,430,550,550,570,600,640,830,1320,3740,4510
faas_lightweight_routing,2000,GET,/polls/help (PaaS),109735,666,0.61%,450.0,449.6433233024973,51.95647986175083,11272.032207503455,21.911581184757708,545.6792629867099,3.1034682302920906,450,550,590,610,700,850,1000,1090,2480,3570,10750
faas_local_or_remote_paas_routing,500,GET,/polls/help (PaaS),33759,0,0.00%,260.0,333.4258049127917,54.018443388998506,11088.88830014954,22.571224790151994,163.3551538582564,0,280,460,540,540,580,620,770,1070,1910,8270,10890
faas_local_or_remote_paas_routing,1000,GET,/polls/help (PaaS),63655,0,0.00%,370.0,375.0416523061299,55.328439924481664,6191.910402307536,22.621311394186698,292.72811948634535,0,360,550,560,580,640,760,910,1060,2350,5720,6360
faas_local_or_remote_paas_routing,1500,GET,/polls/help (PaaS),87901,4,0.00%,420.0,404.881339621177,60.52748377557071,9931.094078283935,22.109895748419888,458.8067006534677,0.020411590736107228,420,540,600,640,650,800,940,1110,1760,4710,10040
faas_local_or_remote_paas_routing,2000,GET,/polls/help (PaaS),116293,0,0.00%,460.0,447.50036656211756,64.87325175369226,7891.998849139633,22.069922864838524,605.3799298079585,0,450,600,620,610,710,740,850,900,1330,2120,8170
nginx_routing,500,GET,/polls/help (PaaS),31321,0,0.00%,160.0,351.68466220214634,121.96485410960175,1960.9264846097751,21.156085636668585,143.60255674158702,0,150,460,590,590,620,640,650,1070,1790,1880,1990
nginx_routing,1000,GET,/polls/help (PaaS),60548,0,0.00%,160.0,350.4393276059329,126.25488479712375,5456.751174997691,22.050720748688676,302.11647137843113,0,160,470,600,590,580,650,660,970,1480,2030,5560
nginx_routing,1500,GET,/polls/help (PaaS),91556,0,0.00%,230.0,349.3612734625733,129.33121486864712,2433.77217864408,22.47921802411483,452.05266770980063,0,220,500,580,580,640,650,710,950,1540,1930,2400
nginx_routing,2000,GET,/polls/help (PaaS),98885,0,0.00%,490.0,468.8196286874648,130.83190788279234,7064.913530226101,21.70646150249464,490.05870062771425,0,500,620,650,640,740,840,1020,1160,1650,2130,7450
