Method,Name,Error,Occurrences
GET,/polls/help,503 Server Error: Service Unavailable for url: https://paas-poll-app.herokuapp.com/polls/help,455
GET,/polls/help,"HTTPSConnectionPool(host='paas-poll-app.herokuapp.com', port=443): Read timed out. (read timeout=10.0)",6163
GET,/polls/help,503 Server Error: Service Unavailable for url: https://paas-poll-app.herokuapp.com/polls/help/,46
