Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,,Aggregated,62931,6,0.01%,220.0,325.50838943671187,8.691119775648326,2071.88290709815,23.65923615394485,317.6841219382221,0.028761342130892615,230,340,410,600,830,880,1010,990,1190,1650,2070
dns_routing,1000,,Aggregated,126978,8,0.01%,240.0,330.41663944149525,49.24613761020072,4913.902598536827,24.4856127024136,640.1721402005462,0.04282451858743402,240,370,420,650,870,910,1000,970,1150,1490,5140
dns_routing,1500,,Aggregated,159760,393,0.25%,580.0,681.9487011970538,26.169599044797618,4154.033024926443,26.16026500693937,801.328175752011,1.9483829726094373,610,700,870,970,1150,1300,1390,1510,1630,1890,4020
dns_routing,2000,,Aggregated,187065,38288,20.47%,860.0,849.8648251828977,25.84465907158458,6088.339473126017,120.41791265263333,941.070837501567,188.247959254944,910,970,1120,1210,1280,1420,1660,1730,1870,2520,5990
faas_lightweight_routing,500,,Aggregated,62719,0,0.00%,300.0,300.64597232061686,39.599646530197106,2361.588138880665,24.12851442279667,318.2633123744975,0,310,440,540,530,580,640,650,680,1080,1750,2320
faas_lightweight_routing,1000,,Aggregated,121715,1,0.00%,370.0,384.97267693945935,43.71464093495115,10521.144676848782,24.01394890338667,633.3026396812385,0.010186200352074461,380,520,550,550,630,790,1240,1420,2130,5230,11130
faas_lightweight_routing,1500,,Aggregated,178114,0,0.00%,410.0,401.56758131854434,44.69422168055428,7760.202721037987,23.90966972696655,895.2178002356933,0,410,540,560,600,700,790,870,990,1360,3260,7910
faas_lightweight_routing,2000,,Aggregated,224324,1349,0.60%,540.0,532.0723285880584,43.86575381205894,11126.319189863234,24.233072307650303,1101.293752489064,6.5827471407117555,540,630,640,690,820,940,1070,1210,2510,3720,10660
faas_local_or_remote_paas_routing,500,,Aggregated,66467,0,0.00%,260.0,293.21458464694246,24.79908782994854,11002.306988083834,24.013928642884558,320.4744377098423,0,270,390,410,460,550,590,730,970,1830,7410,10790
faas_local_or_remote_paas_routing,1000,,Aggregated,121314,0,0.00%,350.0,394.6516798726146,31.61620511317131,10162.458413109995,24.722040586986328,592.5417934178923,0.004936982910969332,350,470,510,570,620,810,1110,1160,2150,6000,9710
faas_local_or_remote_paas_routing,1500,,Aggregated,188318,8,0.00%,410.0,418.9654077754126,33.344005765280755,10730.333577824724,23.67149199033522,913.0552883637756,0.04388752910776123,400,500,570,600,680,830,1120,1210,1750,8420,11280
faas_local_or_remote_paas_routing,2000,,Aggregated,239933,0,0.00%,420.0,440.15671204686237,40.00824780495493,9974.70248413543,24.940109044526523,1166.4734347083872,0,440,490,580,600,670,760,890,950,1250,2170,9530
nginx_routing,500,,Aggregated,59058,2,0.00%,230.0,435.1048251902264,112.92126304284604,17364.681866129537,23.842270827753694,299.6055543430013,0.010106286644376176,230,510,590,580,650,670,1150,5290,7630,8320,16550
nginx_routing,1000,,Aggregated,123458,1,0.00%,340.0,404.0995080632157,123.21503426616268,9774.77083063512,24.398125429581054,627.4379752781467,0.004862199381215637,340,560,580,610,690,770,880,1000,1550,2950,9950
nginx_routing,1500,,Aggregated,182635,2,0.00%,380.0,439.47929265111406,119.15992644094447,10556.84285825149,24.766363059601243,866.5081985921257,0.009690626104038313,370,550,610,640,700,800,950,1170,1580,2210,10050
nginx_routing,2000,,Aggregated,201811,1,0.00%,600.0,675.4166415052229,132.55357851687796,10381.577630239944,23.366682649646517,992.6331440715794,0.009712085347612587,600,680,770,800,1100,1900,2590,3100,4310,7750,11380
