Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/polls/help,48179,1,3800.0,4223.762479179655,64.95709999580868,7767.488099998445,22.010045870607527,324.5163508785334,0.006735638989570837,3800,4500,5100,5500,6100,6400,7200,7600,7700,7800,7800
,Aggregated,48179,1,3800.0,4223.762479179655,64.95709999580868,7767.488099998445,22.010045870607527,324.5163508785334,0.006735638989570837,3800,4500,5100,5500,6100,6400,7200,7600,7700,7800,7800
