Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,GET,/polls/help (PaaS),31536,4,0.01%,230.0,331.2922250201055,8.945284000219544,1994.4101569999475,21.99720953830543,155.37874255085276,0.01970811041994581,230,360,420,610,860,910,1000,1000,1200,1700,2000
dns_routing,1000,GET,/polls/help (PaaS),63238,2,0.00%,240.0,341.7402895114092,55.69674802245572,2271.0756410087924,21.999304215819603,313.36090612980377,0.009910525510920767,240,370,440,620,860,920,1000,1000,1200,1400,2300
dns_routing,1500,GET,/polls/help (PaaS),78255,171,0.22%,600.0,682.8832977048046,27.028255979530513,2840.649175021099,23.051153280940515,385.9622974898965,0.8433908743309987,600,730,880,1000,1200,1300,1400,1500,1700,1900,2800
dns_routing,2000,GET,/polls/help (PaaS),95176,20026,21.04%,870.0,871.4284412416649,25.952055992092937,6143.520585988881,123.83853072203077,469.857400735315,98.8627837598283,870,1000,1100,1200,1300,1400,1600,1700,1900,2500,6100
faas_lightweight_routing,500,GET,/polls/help (PaaS),32394,0,0.00%,240.0,290.90380884947587,50.30728201381862,2225.3251829824876,22.0,159.552972580694,0.0,240,410,540,540,550,550,570,790,1200,1700,2200
faas_lightweight_routing,1000,GET,/polls/help (PaaS),61957,0,0.00%,250.0,298.9080707115795,51.80729599669576,2291.822621016763,22.0,307.1555549163963,0.0,250,420,540,540,550,570,590,790,1200,1300,2300
faas_lightweight_routing,1500,GET,/polls/help (PaaS),91002,0,0.00%,290.0,330.7253648705607,52.72608203813434,4547.07273299573,22.0,449.5090272014658,0.0,290,430,550,550,570,590,640,820,1300,3700,4500
faas_lightweight_routing,2000,GET,/polls/help (PaaS),111608,646,0.58%,470.0,464.56742205658543,53.524168964941055,10941.499852000561,21.872661457960003,556.7415819883192,3.222484606519732,470,570,600,620,710,830,1000,1100,2400,3500,11000
faas_local_or_remote_paas_routing,500,GET,/polls/help (PaaS),32688,0,0.00%,270.0,333.85939879477115,53.13724302686751,10956.62282698322,22.0,161.4523805883637,0.0,270,450,550,560,580,610,780,1100,1900,8500,11000
faas_local_or_remote_paas_routing,1000,GET,/polls/help (PaaS),61294,0,0.00%,360.0,389.60923577090045,53.99094399763271,6276.895771006821,22.0,303.90298444767745,0.0,360,540,580,600,640,750,940,1100,2400,5900,6300
faas_local_or_remote_paas_routing,1500,GET,/polls/help (PaaS),90420,4,0.00%,420.0,421.6229424989979,58.96898900391534,10002.827830001479,21.99902676399027,446.24046232543895,0.019740785769760627,420,560,610,620,680,800,960,1100,1800,4600,10000
faas_local_or_remote_paas_routing,2000,GET,/polls/help (PaaS),118081,0,0.00%,460.0,455.0717997974536,63.74143098946661,8139.096409000558,22.0,588.5594392993067,0.0,460,580,620,640,690,750,850,930,1300,2200,8100
nginx_routing,500,GET,/polls/help (PaaS),30284,0,0.00%,160.0,338.3943954121024,125.66211400553584,1970.4437300097197,22.0,149.25028867442248,0.0,160,480,590,590,610,630,650,1100,1800,1900,2000
nginx_routing,1000,GET,/polls/help (PaaS),61234,0,0.00%,170.0,340.61923568302046,126.87570601701736,5668.355376023101,22.0,303.744997569327,0.0,170,480,590,600,610,630,650,940,1500,2000,5700
nginx_routing,1500,GET,/polls/help (PaaS),90297,0,0.00%,230.0,360.05157911925437,127.38220501341857,2457.814497000072,22.0,446.14102319030803,0.0,230,490,590,600,630,650,690,970,1500,2000,2500
nginx_routing,2000,GET,/polls/help (PaaS),102009,0,0.00%,500.0,485.555484129819,128.37155198212713,7270.911250001518,22.0,504.9235484664105,0.0,500,610,640,660,760,860,1000,1200,1700,2200,7300
